# boru Language Specification: the boru:io module
# Format: input<TAB>expected<TAB>description
#
# Loadable module of input/output words that were moved out of the core
# registry. Most are reached only after `import`, under the `IO`
# namespace: `import "boru:io" IO.word args`. `print` is NOT here — it
# stays a core word so basic output needs no import.
#
# FILE I/O IS PATHON-ONLY. Every filesystem target is a `Scalar/Micron/
# Pathon` built with `make Pathon "…"` — a bare string is declined, so a
# file target is type-distinct from an arbitrary string and from a stream
# handle. A word that returns its target returns that Pathon (rendered
# without quotes), so `IO.read (IO.write p x)` threads through.
#
# `list` and `remove` are the exception to the namespace rule: boru:io
# extends the CORE `list` / `remove` words with a Pathon overload, so
# after import the BARE words gain filesystem behaviour — `list p` /
# `remove p` — rather than a separate `IO.list` / `IO.remove` (see
# design/OPEN-WORDS.0.md). The overload only registers on import.
#
# ─────────────────────────────────────────────────────────────────────
# §1  stream handles — `stdin`/`stdout`/`stderr` are ATOMs of the
#     StreamKind type (a closed enumeration of exactly those three, not
#     strings). StreamKind is exported by this module — `IO.StreamKind`,
#     not a global builtin.
import "boru:io" IO.stdout	stdout/q	standard-output handle is the `stdout` atom
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://w.txt") "x" drop  (IO.watch (make Pathon "mem://w.txt") [drop]) is IO.Watcher	true	the handle inhabits the exported IO.Watcher type
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://d/w.txt") "x" drop  typeof (IO.watch (make Pathon "mem://d") [drop] {recursive:true match:"*.txt"})	Watcher	watch accepts a {recursive match} options map and still returns a Watcher
import "boru:io"  context dot __sys dot fs set mem true  IO.watch (make Pathon "mem://ghost") [drop]	ERROR:watch	watching an absent path errors (fsnotify parity)
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://w.txt") "x" drop  IO.unwatch (IO.watch (make Pathon "mem://w.txt") [drop])		unwatch stops the watcher, leaving no value
import "boru:io"  context dot __sys dot fs set mem true  IO.unwatch 42	ERROR:signature	unwatch of a non-Watcher is declined statically — its sole signature takes a Watcher
#
# §18  args — the script's command-line arguments (everything after the
#      script path), surfaced by the host through SetHostScriptArgs /
#      lang.Options.ScriptArgs as a List of Strings. The spec runner
#      installs none, so the deterministic surface is the EMPTY list —
#      set vectors, ordering, and the CLI plumbing are pinned in
#      lang/go/test/script_args_test.go and cmd/go/internal/run/
#      run_args_test.go. The inner native is named script-args (the core
#      fn-arguments word `args` shares the sub-registry), renamed to
#      IO.args on export.
import "boru:io"  IO.args	[]	with no host-installed vector, args is an empty list — never none, never an error
import "boru:io"  typeof (IO.args)	List	the args surface is a List
import "boru:io"  size (IO.args)	0	and the uninstalled default has no elements
#
# §26  env / env-all — the process environment, read-only, surfaced by
#      the host through SetHostEnvOps / lang.Options.Env. `IO.env <name>`
#      yields the value or none ("" is a real value, distinct from
#      unset); `IO.env-all` yields a Map of everything visible. They are
#      two WORDS, not two overloads of one — see the note on the `env`
#      native in native/io_module.go and NUR035. The spec runner installs
#      NO EnvOps, so the deterministic surface is "nothing is set": the
#      runtime never reaches for the real process environment the host did
#      not hand it, which is exactly what makes these rows reproducible on
#      any machine. Installed vectors, the map-backed fake, and the policy
#      allowlist are pinned in lang/go/test/io_env_test.go.
import "boru:io"  IO.env "HOME"	None	with no host-installed environment, every name reads as unset
import "boru:io"  IO.env "PATH"	None	including names the surrounding process certainly does have
import "boru:io"  typeof (IO.env "HOME")	None	an unset name is none, never "" — "" is a real value a caller must distinguish
import "boru:io"  size (IO.env-all)	0	and the whole-environment snapshot is empty
import "boru:io"  typeof (IO.env-all)	Map	the snapshot is a Map, so a caller can iterate unconditionally
import "boru:io"  IO.env 42	ERROR:signature	a non-String name is declined — the sole signature takes a String
import "boru:io"  IO.env true	ERROR:signature	likewise a Boolean: there is no coercion into the name slot
import "boru:io"  IO.env-all "HOME"	{} 'HOME'	env-all takes no argument, so a stray one is left on the stack rather than treated as a name
IO.env "HOME"	ERROR:undefined_word	`IO` is unbound without `import`
#
# §28  read-line / tty — the filter-program surface. `IO.read-line` yields
#      the next line of a stream or File handle WITHOUT its terminator, or
#      none at EOF; `IO.is-tty` reports whether a stream is a terminal.
#
#      The rows below use a FILE HANDLE over the in-memory filesystem,
#      because stdin is not hermetic here: the spec runner never sets
#      Registry.Input, so it defaults to the real process stdin
#      (eng/go/registry.go:1167) and a stdin row would read whatever the
#      harness was launched with. The stdin arms — and the interaction with
#      `IO.read (IO.stdin)`, which shares one reader — are pinned in
#      lang/go/test/io_lines_test.go.
#
#      `IO.is-tty` answers FALSE here because the spec runner installs no
#      StreamProbe. That is the capability contract, not an accident: the
#      runtime never asks the OS what it is attached to unless a host hands
#      over a probe. The TRUE arm needs the fake, so it is a Go test too.
#
#      The word is `tty`, not the `tty?` of design/CLI-PROGRAMS.0.md §5:
#      `?` is a fixed lexer token, so `tty?` cannot be dispatched at all.
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://rl.txt") "alpha\nbeta\n" drop  IO.read-line (IO.open (make Pathon "mem://rl.txt"))	'alpha'	read-line yields the first line without its newline
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://rl2.txt") "alpha\nbeta\n" drop  def f (IO.open (make Pathon "mem://rl2.txt"))  IO.read-line f drop  IO.read-line f	'beta'	successive reads advance: the handle buffers, so the second call yields the second line
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://rl3.txt") "only" drop  IO.read-line (IO.open (make Pathon "mem://rl3.txt"))	'only'	a final line with NO trailing newline is still a line — dropping it would lose data from every unterminated file
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://rl4.txt") "a\r\nb\r\n" drop  IO.read-line (IO.open (make Pathon "mem://rl4.txt"))	'a'	CRLF is stripped as well as LF, so a Windows-written file reads as lines rather than lines ending in a stray carriage return
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://rl5.txt") "" drop  typeof (IO.read-line (IO.open (make Pathon "mem://rl5.txt")))	None	EOF at a line boundary is none, never "" — "" is a legitimate BLANK line, so a filter loop must be able to tell them apart
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://rl6.txt") "\n\n" drop  IO.read-line (IO.open (make Pathon "mem://rl6.txt"))	''	and a blank line reads as the empty string, which is why none had to mean EOF
import "boru:io"  IO.read-line (IO.stdout)	ERROR:read_error	reading a line from an OUTPUT stream is declined, not reported as EOF: it is a bug in the program, and EOF would hide it behind a loop that exits immediately
import "boru:io"  IO.read-line "notastream"	ERROR:signature	a String is not a stream or File handle
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://rl7.txt") "alpha\nbeta\n" drop  def f (IO.open (make Pathon "mem://rl7.txt"))  IO.read-line f drop  IO.seek f 0 drop  IO.read-line f	'alpha'	IO.seek drops the line buffer: after repositioning, a line read starts from the new position rather than serving lines buffered before the seek
import "boru:io"  IO.read-line stdin/q	None	a BARE `stdin` atom reads the same stream as IO.stdin — StreamKind membership is by NAME, not by which import minted the handle
import "boru:io"  IO.is-tty (IO.stdout)	false	with no host-installed probe every stream answers false — the runtime never asks the OS what it is attached to unless a host hands over a probe
import "boru:io"  IO.is-tty (IO.stdin)	false	including stdin, and including when the surrounding process really does have a terminal
import "boru:io"  IO.is-tty (IO.stderr)	false	and stderr — the answer is per-stream, so all three are pinned
import "boru:io"  IO.is-tty 42	ERROR:signature	the argument is a stream handle; an Integer is declined
#
# §27  exit — ask the DRIVER to stop with a status. IO.exit does not call
#      os.Exit: it raises the reserved `boru/exit` control error carrying
#      {code}, and whoever is driving decides what that means (the CLI and
#      a built binary exit with the code printing nothing; a sub-engine
#      converts it so a sandbox cannot exit its host; `boru test` ends that
#      file). To the SPEC RUNNER, which is just another driver and has no
#      process to exit, it is simply the error it is — which is what these
#      rows pin. The per-driver decisions are in cmd/go/internal/*/
#      *_exit_test.go and lang/go/test/io_exit_test.go.
import "boru:io"  IO.exit 3	ERROR:exit	an exit request surfaces as the reserved boru/exit error
import "boru:io"  IO.exit 0	ERROR:exit	including a SUCCESS exit — 0 is a status, not the absence of one
import "boru:io"  do [IO.exit 2]	ERROR:exit	a handler-less `do` does NOT convert it to an Error value: an exit is a control transfer, and demoting it to data would silently turn `IO.exit 2` into exit 0
import "boru:io"  do [raise {code:'boom' message:'bang'}]	error(bang)	while an ordinary raise inside the same `do` is still caught as data — the escape hatch is unchanged for failures
import "boru:io"  IO.exit 126	ERROR:exit_error	126 is the shell's "found but not executable"; a program that returns it misreports how it died
import "boru:io"  IO.exit 200	ERROR:exit_error	and 128+n means "killed by signal n" — the range is 0..125
import "boru:io"  IO.exit "3"	ERROR:signature	the code is an Integer; a String is not coerced, and there is no implicit 0
#
# §16  overlay filesystem — `context dot __sys dot fs set overlay true`
#      switches the FileOps capability to a UNION: a writable in-memory
#      upper over the host filesystem as a read-only lower. Reads fall
#      through to real files, writes land only in memory, deletes are
#      whiteouts — the partially-in-memory unit-test configuration. The
#      rows below exercise the hermetic (upper-write) surface; the
#      fall-through and whiteout behaviour over a REAL lower is pinned in
#      lang/go/native/io_overlay_test.go and capabilities/overlay_test.go.
import "boru:io"  context dot __sys dot fs set overlay true  IO.write (make Pathon "mem://ov.txt") "shadowed" drop  IO.read (make Pathon "mem://ov.txt")	'shadowed'	an overlay write lands in the mem upper and reads back
import "boru:io"  context dot __sys dot fs set overlay true  IO.write (make Pathon "mem://ow.txt") "x" drop  remove (make Pathon "mem://ow.txt")	mem:/ow.txt	remove of an upper-only file behaves as usual under the overlay
#
# §7  folder — create a directory, returning its Pathon. IO.folder mutates the
#     HOST filesystem via EffectiveFileOps: the in-memory-FS toggle does not
#     engage through a spec row's context layering, and `make Pathon` collapses
#     a "mem://" scheme so the scheme-routed mem backing can't catch it
#     either. There is therefore no hermetic, deterministic spec surface for
#     it, so it is the one ADR-003 hermetic exemption (see coverage_test.go)
#     and is exercised in the Go tests instead — lang/go/native/folder_test.go.
